iter	RMSE
0	0.3967341758
1	0.3938913231
2	0.3912342981
3	0.3885833851
4	0.3860044125
5	0.3833348407
6	0.3808508981
7	0.3782336134
8	0.3757937738
9	0.373303699
10	0.371017176
11	0.3684514046
12	0.365832509
13	0.363331542
14	0.3607469671
15	0.3583413805
16	0.3561106177
17	0.3537781734
18	0.35160183
19	0.3492852413
20	0.3469786026
21	0.3446394089
22	0.3423941404
23	0.3402893647
24	0.3381563411
25	0.3360161046
26	0.3339598229
27	0.3318896456
28	0.3298997486
29	0.3278752519
30	0.3258322382
31	0.3238392656
32	0.3217760243
33	0.3198067104
34	0.3177917469
35	0.3157181861
36	0.3137800217
37	0.311733036
38	0.3099193623
39	0.3081501254
40	0.3062579999
41	0.3044219705
42	0.3025288302
43	0.3006605963
44	0.2988412787
45	0.2970809437
46	0.2953710998
47	0.2935831185
48	0.2918749219
49	0.2902077367
50	0.2886128296
51	0.2869240351
52	0.285211498
53	0.283777431
54	0.28215058
55	0.2805729896
56	0.2789945623
57	0.2773832245
58	0.2759021901
59	0.2742779213
60	0.2727732387
61	0.271303495
62	0.2698309445
63	0.2682768472
64	0.2667840208
65	0.2653516062
66	0.263888447
67	0.2623881675
68	0.2610369613
69	0.2596361428
70	0.2582054032
71	0.2568842975
72	0.2555424892
73	0.2541704734
74	0.2528193755
75	0.2515560868
76	0.2502705573
77	0.2489369021
78	0.2476035615
79	0.2463341947
80	0.2450154072
81	0.243791897
82	0.2425831942
83	0.2412684203
84	0.2400721484
85	0.2388450598
86	0.2377196794
87	0.236502068
88	0.2353185891
89	0.2342387317
90	0.2331015834
91	0.2320337642
92	0.230905662
93	0.229844146
94	0.2288316757
95	0.2278440117
96	0.2268630394
97	0.2258315777
98	0.2247723842
99	0.2237148495
100	0.2226626757
101	0.2216708255
102	0.220631693
103	0.2195770941
104	0.2185596447
105	0.2175789881
106	0.2165704368
107	0.2155409266
108	0.2145888267
109	0.2135687823
110	0.2126748676
111	0.2117453528
112	0.210806713
113	0.2098592172
114	0.2089230125
115	0.2080219608
116	0.2071005816
117	0.2062725571
118	0.2053748048
119	0.2045282936
120	0.2036907701
121	0.2028778676
122	0.2020122168
123	0.201154797
124	0.2003648774
125	0.199611831
126	0.1988506693
127	0.198015172
128	0.1971713338
129	0.1964437236
130	0.1956236286
131	0.194803598
132	0.1939931749
133	0.1932119024
134	0.1923724705
135	0.191644618
136	0.1908935698
137	0.1902087971
138	0.1895623997
139	0.1888874324
140	0.188194042
141	0.1875294232
142	0.1867851598
143	0.1861155274
144	0.1854159395
145	0.1847005333
146	0.1839669197
147	0.1832656822
148	0.1825765342
149	0.1818826675
150	0.1811844213
151	0.1805945938
152	0.1799181723
153	0.1792529826
154	0.1785639936
155	0.1779455728
156	0.1773058641
157	0.1766832939
158	0.1760321226
159	0.1754804614
160	0.1748761973
161	0.1742782482
162	0.1737080057
163	0.1731448368
164	0.1725312795
165	0.1719919459
166	0.1715575433
167	0.1710475148
168	0.1705139741
169	0.1700198077
170	0.1694924997
171	0.169036676
172	0.1685557705
173	0.1680578134
174	0.1675370574
175	0.1670127064
176	0.1665286678
177	0.1659921127
178	0.1654886729
179	0.1650351158
180	0.1644802993
181	0.1640256221
182	0.1635272342
183	0.1629957472
184	0.1624690289
185	0.1620305876
186	0.1615696146
187	0.1610966699
188	0.1606322604
189	0.1601130735
190	0.1596515559
191	0.15922926
192	0.1588338101
193	0.1584117474
194	0.1579745074
195	0.157582146
196	0.1571426713
197	0.1567244989
198	0.1563234047
199	0.1559142822
200	0.1554999452
201	0.1550927289
202	0.1547280232
203	0.1543321814
204	0.1539361215
205	0.1535183137
206	0.1531103625
207	0.1527251779
208	0.1523756918
209	0.1519862822
210	0.1515764374
211	0.1511868009
212	0.1507783602
213	0.150464467
214	0.1501650397
215	0.1498102734
216	0.1494535949
217	0.1491244169
218	0.1487307379
219	0.1483519787
220	0.1479861322
221	0.1476505686
222	0.1473043983
223	0.1469815284
224	0.1466318018
225	0.1463047349
226	0.1459447202
227	0.145602072
228	0.1452418426
229	0.1448773684
230	0.1445622514
231	0.1442373036
232	0.1439018541
233	0.1435923113
234	0.1433043219
235	0.1430365581
236	0.1427735424
237	0.1424757072
238	0.1421485913
239	0.1418823381
240	0.1416014147
241	0.1413103656
242	0.1410592306
243	0.1407446602
244	0.1404604723
245	0.1401875557
246	0.139908538
247	0.1396990269
248	0.1394044838
249	0.139134112
250	0.138903123
251	0.1386319129
252	0.1383587041
253	0.1381099739
254	0.1378383012
255	0.1375600635
256	0.1373200531
257	0.1370407698
258	0.13677177
259	0.1365182916
260	0.1362888314
261	0.1360555829
262	0.1358512134
263	0.135627048
264	0.1353990237
265	0.1351668711
266	0.1349124691
267	0.1346693031
268	0.134394056
269	0.1341344224
270	0.1338670925
271	0.1336488426
272	0.1334070398
273	0.1331996142
274	0.1329450834
275	0.1326988206
276	0.1324332621
277	0.132205825
278	0.1320054137
279	0.131771628
280	0.1315786882
281	0.1313264523
282	0.1311280661
283	0.130925423
284	0.1306824966
285	0.1304603941
286	0.1302453962
287	0.1300619937
288	0.12982745
289	0.1296274836
290	0.1294478465
291	0.1292655318
292	0.1290402466
293	0.1288307861
294	0.1286280377
295	0.1284475919
296	0.1282354539
297	0.1280255507
298	0.1278336272
299	0.127674943
300	0.1275013832
301	0.1273326282
302	0.1271190929
303	0.1269176166
304	0.1267195374
305	0.1265123958
306	0.1262619638
307	0.1260469442
308	0.1258847246
309	0.125748697
310	0.1255667829
311	0.1253984506
312	0.1252289482
313	0.1250675355
314	0.1248954214
315	0.1247117125
316	0.124485555
317	0.1243219937
318	0.1241637544
319	0.1240073328
320	0.1238148939
321	0.1236347964
322	0.1234824816
323	0.1233148433
324	0.1231281817
325	0.1229311809
326	0.1227751733
327	0.1226043963
328	0.122440066
329	0.1222964368
330	0.1221429701
331	0.1219691319
332	0.1217908685
333	0.1216573246
334	0.1215079135
335	0.1213601774
336	0.1212220195
337	0.121092508
338	0.1209047036
339	0.1207306083
340	0.1205787564
341	0.1204284711
342	0.120278942
343	0.1201457595
344	0.1199878212
345	0.1198319243
346	0.1196878729
347	0.1195215846
348	0.1194071269
349	0.1192793067
350	0.1190998849
351	0.118948403
352	0.1188208577
353	0.1186507796
354	0.1185272518
355	0.1184239049
356	0.1182667713
357	0.1181482052
358	0.1180242562
359	0.1178881837
360	0.1177668298
361	0.1176298155
362	0.1175127654
363	0.117374935
364	0.1172244759
365	0.1170977108
366	0.1169797359
367	0.1168477817
368	0.1167450176
369	0.1166143697
370	0.1165111679
371	0.1163892369
372	0.1162804393
373	0.116145636
374	0.1159919113
375	0.1158523624
376	0.115717623
377	0.115588386
378	0.1154359486
379	0.1153332825
380	0.115198133
381	0.1150547637
382	0.1149150936
383	0.114765581
384	0.114678328
385	0.1145397749
386	0.1144182667
387	0.1142890622
388	0.1141796902
389	0.1140623096
390	0.1139407291
391	0.113828519
392	0.1137296164
393	0.1136024321
394	0.1134871406
395	0.1133704794
396	0.1132685378
397	0.1131429072
398	0.1130354363
399	0.1129207496
400	0.1128116981
401	0.1127182153
402	0.1126076832
403	0.1125286883
404	0.1124365497
405	0.1123351022
406	0.1122318648
407	0.1121482166
408	0.1120371028
409	0.111935587
410	0.1118450519
411	0.1117208762
412	0.1116127752
413	0.1115035066
414	0.1114140615
415	0.1113016207
416	0.1111943604
417	0.1111006102
418	0.111019167
419	0.1109033699
420	0.1108228942
421	0.1107207862
422	0.1106419901
423	0.1105496455
424	0.1104288676
425	0.1103497944
426	0.1102307286
427	0.1101169525
428	0.1100294559
429	0.1099310172
430	0.1098365526
431	0.1097659101
432	0.1096336132
433	0.1095360875
434	0.1094210631
435	0.1093135618
436	0.1092298647
437	0.1091614351
438	0.1090665636
439	0.1089712698
440	0.1088696466
441	0.1087807736
442	0.1087231456
443	0.1086287705
444	0.1085430794
445	0.1084483454
446	0.108346855
447	0.108254337
448	0.1081493524
449	0.108070777
450	0.1079935049
451	0.1078820471
452	0.1077925016
453	0.1077245763
454	0.1076344464
455	0.1075288559
