iter	Passed	Remaining
0	145	436177
1	148	223229
2	152	152011
3	154	116060
4	157	94379
5	159	79784
6	162	69472
7	164	61666
8	167	55594
9	169	50760
10	172	46828
11	174	43500
12	177	40744
13	179	38383
14	182	36387
15	185	34562
16	187	32976
17	190	31550
18	192	30266
19	195	29165
20	198	28133
21	200	27181
22	203	26337
23	206	25563
24	208	24860
25	211	24192
26	214	23612
27	216	23009
28	219	22468
29	221	21954
30	224	21461
31	226	21000
32	228	20556
33	231	20159
34	233	19777
35	236	19443
36	238	19095
37	240	18777
38	243	18451
39	245	18133
40	247	17846
41	249	17573
42	251	17317
43	254	17072
44	256	16854
45	259	16640
46	261	16425
47	263	16219
48	265	16012
49	268	15820
50	270	15635
51	272	15474
52	275	15301
53	277	15154
54	280	14995
55	282	14842
56	284	14690
57	286	14548
58	289	14412
59	291	14279
60	294	14166
61	296	14041
62	298	13918
63	300	13801
64	302	13674
65	305	13567
66	307	13457
67	309	13365
68	312	13261
69	314	13163
70	316	13053
71	318	12949
72	320	12862
73	323	12773
74	325	12696
75	327	12610
76	329	12525
77	332	12445
78	334	12362
79	336	12283
80	338	12212
81	341	12137
82	343	12067
83	345	11990
84	347	11925
85	349	11852
86	351	11782
87	354	11727
88	356	11660
89	358	11601
90	360	11539
91	363	11486
92	365	11425
93	367	11369
94	370	11331
95	372	11278
96	375	11229
97	377	11173
98	379	11121
99	381	11069
100	384	11027
101	386	10989
102	389	10949
103	392	10924
104	395	10892
105	397	10859
106	400	10826
107	402	10783
108	405	10742
109	407	10702
110	409	10652
111	411	10614
112	414	10580
113	416	10549
114	419	10519
115	421	10478
116	423	10436
117	425	10390
118	427	10359
119	430	10322
120	432	10287
121	434	10253
122	436	10217
123	439	10185
124	441	10159
125	444	10135
126	446	10103
127	449	10075
128	451	10049
129	453	10021
130	456	9992
131	458	9963
132	460	9933
133	462	9900
134	465	9870
135	467	9839
136	469	9811
137	472	9793
138	474	9774
139	477	9750
140	479	9723
141	482	9710
142	484	9683
143	487	9668
144	490	9652
145	492	9632
146	495	9609
147	497	9589
148	499	9565
149	502	9549
150	505	9531
151	507	9509
152	509	9487
153	512	9465
154	514	9446
155	516	9425
156	519	9409
157	521	9384
158	524	9367
159	526	9345
160	528	9325
161	531	9312
162	534	9299
163	536	9280
164	539	9262
165	541	9249
166	543	9228
167	547	9223
168	550	9219
169	553	9220
170	556	9208
171	559	9191
172	561	9179
173	563	9158
174	566	9143
175	568	9123
176	570	9101
177	573	9086
178	575	9065
179	577	9053
180	579	9032
181	582	9015
182	584	8995
183	586	8974
184	588	8962
185	591	8948
186	594	8938
187	596	8920
188	598	8904
189	601	8889
190	603	8873
191	606	8869
192	609	8859
193	611	8845
194	613	8828
195	616	8815
196	618	8800
197	636	9013
198	639	8997
199	641	8982
200	644	8969
201	646	8951
202	648	8935
203	650	8919
204	653	8910
205	655	8893
206	657	8876
207	660	8864
208	662	8851
209	665	8839
210	667	8823
211	669	8807
212	671	8791
213	674	8777
214	676	8762
215	678	8746
216	681	8737
217	683	8722
218	685	8709
219	687	8691
220	689	8675
221	691	8659
222	693	8641
223	696	8632
224	698	8616
225	700	8601
226	702	8585
227	704	8569
228	707	8555
229	709	8540
230	711	8532
231	713	8518
232	716	8502
233	718	8490
234	720	8474
235	722	8460
236	724	8446
237	727	8436
238	729	8425
239	731	8412
240	733	8402
241	736	8389
242	738	8379
243	741	8373
244	743	8365
245	746	8353
246	748	8342
247	750	8330
